127.0.0.1 - - [07/Mar/2024:13:19:49 +0530] "GET / HTTP/1.1" 404 751
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:19:50 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 215
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:19:50 +0530] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:20:50 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 244
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:23:36 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 432
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:25:11 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 526
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:25:31 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 520
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:26:32 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 572
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:27:03 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 585
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:29:46 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:29:49 +0530] "GET /DynamicWeb1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:30:03 +0530] "GET /DynamicWeb1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:30:04 +0530] "GET /DynamicWeb1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:30:04 +0530] "GET /DynamicWeb1/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:30:18 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 1150
0:0:0:0:0:0:0:1 - - [07/Mar/2024:13:30:30 +0530] "GET /DynamicWeb1/ HTTP/1.1" 200 1152
